Version,Planet,Variable,Exponent,A,B,C
vsop87e,venus     ,z,2,     0.00000000075, 0.23631944253,    8635.94200376320
vsop87e,venus     ,z,2,     0.00000000068, 1.33776656115,     210.11770170030
vsop87e,venus     ,z,2,     0.00000000087, 5.24030699307,   13367.97263110660
vsop87e,venus     ,z,2,     0.00000000071, 0.79640279433,   10021.83728009940
vsop87e,venus     ,z,2,     0.00000000079, 4.29766380692,      14.22709400160
vsop87e,venus     ,z,2,     0.00000000094, 3.15707903458,   18073.70493865020
vsop87e,venus     ,z,2,     0.00000000085, 6.16812793384,     543.91805909620
vsop87e,venus     ,z,2,     0.00000000091, 6.04946077734,   19651.04848109800
vsop87e,venus     ,z,2,     0.00000000117, 5.42784121915,    5507.55323866740
vsop87e,venus     ,z,2,     0.00000000111, 5.37256662943,    1589.07289528380
vsop87e,venus     ,z,2,     0.00000000106, 3.65846401642,    1052.26838318840
vsop87e,venus     ,z,2,     0.00000000119, 4.09508225076,     515.46387109300
vsop87e,venus     ,z,2,     0.00000000149, 4.90906266305,     316.39186965660
vsop87e,venus     ,z,2,     0.00000000184, 0.95286916137,     199.07200143640
vsop87e,venus     ,z,2,     0.00000000173, 0.49687224658,    1066.49547719000
vsop87e,venus     ,z,2,     0.00000000259, 5.13154893421,    9153.90361602180
vsop87e,venus     ,z,2,     0.00000000294, 1.18226869992,     639.89728631400
vsop87e,venus     ,z,2,     0.00000000238, 2.83008439932,   10404.73381232260
vsop87e,venus     ,z,2,     0.00000000282, 4.03266493057,    1577.34354244780
vsop87e,venus     ,z,2,     0.00000000241, 6.17158812425,    9437.76293488700
vsop87e,venus     ,z,2,     0.00000000303, 0.54544143559,    2352.86615377180
vsop87e,venus     ,z,2,     0.00000000275, 3.26254603491,   11790.62908865880
vsop87e,venus     ,z,2,     0.00000000304, 6.04133491762,   10988.80815753500
vsop87e,venus     ,z,2,     0.00000000300, 3.09602587558,     227.52618943960
vsop87e,venus     ,z,2,     0.00000000471, 1.76796792110,   30639.85663863300
vsop87e,venus     ,z,2,     0.00000000540, 4.13666778984,   10239.58386601080
vsop87e,venus     ,z,2,     0.00000000519, 4.43200328483,       7.11354700080
vsop87e,venus     ,z,2,     0.00000000527, 2.28325191846,     433.71173787680
vsop87e,venus     ,z,2,     0.00000000641, 4.89317483950,      74.78159856730
vsop87e,venus     ,z,2,     0.00000000683, 0.01279354578,   10186.98722641120
vsop87e,venus     ,z,2,     0.00000000743, 6.08844686068,     419.48464387520
vsop87e,venus     ,z,2,     0.00000001250, 5.19399610895,    1059.38193018920
vsop87e,venus     ,z,2,     0.00000001982, 2.34242027589,     426.59819087600
vsop87e,venus     ,z,2,     0.00000002272, 4.09618627765,     522.57741809380
vsop87e,venus     ,z,2,     0.00000002969, 6.27419756063,     536.80451209540
vsop87e,venus     ,z,2,     0.00000005511, 3.23377546695,     220.41264243880
vsop87e,venus     ,z,2,     0.00000008616, 0.77209239310,     206.18554843720
vsop87e,venus     ,z,2,     0.00000013554, 5.33914310904,   20426.57109242200
vsop87e,venus     ,z,2,     0.00000027386, 6.15738229214,     529.69096509460
vsop87e,venus     ,z,2,     0.00000037478, 3.23028568613,     213.29909543800
vsop87e,venus     ,z,2,     0.00000162299, 0.00000000000,       0.00000000000
vsop87e,venus     ,z,2,     0.00009148022, 3.34791005272,   10213.28554621100
vsop87e,venus     ,z,1,     0.00000000014, 2.62615297219,     210.85141488320
vsop87e,venus     ,z,1,     0.00000000015, 4.99910482431,     423.41679713830
